AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
104435003,1082.498,9631.07,16877.9,1320.0,8783.39,1292201.0,10425609.35,7865072.87,0.604,679461.68,324823.0,1656571.0,9630316.76,5507331.08,18270293.11,17828996.02
104435107,218.556,12545.11,26550.38,67202.25,351065.39,2806531.0,2741808.82,4621938.83,0.6282,5738.0,0.0,965927.59,1074975.34,2022067.86,5802744.52,6047979.56
104435303,1068.068,11460.3,18576.13,0.0,205997.62,4636369.0,12240380.83,6848277.2,0.6827,556897.13,0.0,892677.0,12972689.92,6150615.13,19840570.09,20026964.74
104435603,2046.396,11332.77,18190.35,0.0,1210702.99,8756927.0,23191341.54,10313734.02,0.8162,1013392.04,60.0,4520351.82,23623461.15,8499578.32,37224663.72,35147958.16
104435703,1168.482,9154.0,15048.3,264.75,500768.48,1396052.0,10696282.61,6675019.27,0.7453,433754.42,760.67,1492021.45,10886634.86,4961338.69,17583661.92,18063183.28
104437503,829.822,11230.33,19091.42,0.0,501123.05,3852817.0,9319177.21,5794121.44,0.641,528569.39,57628.0,1428993.96,9371317.19,4565743.71,15842484.27,15724189.68
104510394,711.745,8259.09,16417.05,4699.0,1471210.0,958563.0,5878365.0,11265037.0,0.7239,976105.0,0.0,0.0,34344.0,4825584.0,11684753.0,12770591.0
105201033,1979.126,10243.43,20477.86,25427.42,1308058.39,12732439.0,20273046.77,17025693.05,0.5995,828549.96,58519.88,5731103.39,20854810.7,13670137.11,40528264.65,39247082.02
105201352,3641.307,9457.94,17025.19,0.0,1546724.13,16879761.0,34439249.37,27778406.53,0.6745,1160592.23,0.0,8063245.03,31430864.12,18330857.26,61993943.89,60755994.78
105201407,251.972,14486.93,25617.35,0.0,533517.0,626494.0,3650300.37,4543620.38,0.6565,16868.52,0.0,985845.92,1297060.49,1801839.91,6454854.72,6374197.87
105204703,2842.291,11714.38,18310.08,0.0,2019116.21,9839827.0,33295683.04,18742373.03,0.6741,988817.25,493584.76,2347210.84,31783636.13,15410867.95,52042579.08,53038710.13
105250001,576.306,8404.65,15554.24,81886.0,947311.0,881976.0,4843651.55,7498793.0,0.7787,28858.99,0.0,269282.66,283194.0,3740325.34,8964004.54,8729298.0
105250004,526.249,6844.65,13446.34,104288.0,322297.0,653885.0,3601990.0,5803879.0,0.6666,7747.0,0.0,1135937.0,76505.0,2226161.0,7076123.0,6202681.0
105251453,2013.12,9331.06,16120.9,61955.39,1707882.39,7072148.0,18784539.49,9287174.76,0.747,1008874.3,370.49,2168708.29,22274760.89,10429226.55,32453304.02,33270188.53
105252602,12780.941,9979.96,22914.03,1010933.0,15379083.0,20178758.0,127553275.4,62995576.0,0.7787,2227786.42,97943954.0,117966540.6,128587689.0,44104381.42,292862916.9,304906302.0
105252807,343.511,11800.98,21433.79,60801.81,313277.0,930335.0,4053766.87,5541927.82,0.577,7916.2,1376.09,405900.0,1401952.49,2834358.27,7362743.15,7258533.4
105252920,438.29,7266.46,12128.13,0.0,87579.97,3511983.0,3184814.75,5638610.03,0.7787,87634.64,0.0,3949.74,96417.09,2039239.0,5315638.13,5822607.09
105253303,1765.687,7542.57,15206.86,0.0,294891.0,5059122.0,13317823.74,19130133.0,0.4463,940169.87,0.0,4571903.7,7658092.0,8020662.69,26850560.0,27083116.0
105253553,2157.428,8914.76,16073.98,32617.37,646824.0,12906529.0,19232962.53,19731938.07,0.4975,679017.97,32284.0,4519707.55,14562658.68,10214147.71,34678453.13,34973704.75
105253903,2127.209,9156.83,15583.72,564099.0,857971.68,14675582.0,19478483.2,15040060.32,0.5954,949087.0,0.0,2050197.24,17764769.89,10107970.78,33149837.22,33662801.89
